CODE,TXT,OC,pH,TEB,BS,CEC_soil,CEC_clay,RSD,SPR,SPH,OSD,DRG,ESP,EC,CCB,GYP,GRC,VSP
4260,Coarse,0.61,6.2,3.7,72,4,28,100,0,Lithic,0,MW,3,0,0,0,4,0
4261,Coarse,0.61,6.2,3.7,72,4,28,100,0,Lithic,0,MW,3,0,0,0,4,0
4264,Medium,0.83,4.9,1.9,30,7,18,100,0,Lithic,0,P,2,0,0,0,9,0
4265,Coarse,0.72,5.4,3.3,64,5,14,100,0,Lithic,0,P,3,0,0,0,4,0
4267,Medium,1,4.6,3.5,44,7,16,100,0,Lithic,0,MW,1,0,0,0,10,0
4284,Medium,1,4.6,3.5,44,7,16,100,0,Lithic,0,I,1,0,0,0,10,0
4325,Fine,1.25,5.8,19.7,78,26,38,100,0,Lithic,0,VP,2,0,0,0,7,0
4383,Medium,1.4,7.6,15.6,100,15,42,10,0,Lithic,0,I,4,0,3.9,0,26,0
4408,Fine,0.99,6.4,23.7,99,24,42,100,0,Lithic,0,P,1,0,0,0,4,0
4452,Coarse,0.61,6.2,3.7,72,4,28,100,0,Lithic,0,MW,3,0,0,0,4,0
4499,Fine,1.65,4.7,18,49,24,31,100,0,Lithic,0,VP,1,0,0,0,7,0
4544,Fine,1.32,5.6,7.4,61,14,17,100,0,Lithic,0,MW,2,0,0,0,1,0
4587,Fine,1.2,6.8,41,100,42,68,100,0,Lithic,0,P,1,0,0.2,0,2,0
6651,Fine,1.45,5.9,9.5,73,15,19,100,0,Lithic,0,MW,1,0,0,0,5,0
11788,Fine,1.26,4.8,2.7,27,9,11,100,0,Lithic,0,MW,1,0,0,0,15,0
